TV1,Bond,Harry Potter,Cheesy,Game
Am I sexy in Tulsa?,"Ling: Darling, I give you very best duck.",My love for you burns like a dying phoenix.,"Baby, if you were words on a page, you'd be what they call FINE PRINT!","If you were a Pokemon, I'D CHOOSE YOU!"
"Angel, when I look into the future, all I see is you! All I want is you.","James Bond: ""I approve.""","My name might not be Luna, but I sure can Lovegood.","Baby, you are so fine I could put you on a plate and sop you up with a biscuit.","If you were a pokemon, you'd be a Squirtle, cause you make me wet!"
Are you a good cuddler? I might let you join my team.,"Goodnight: ""You do?""","My vagina is a horcrux, will you destroy it?","Baby, you're so hot, you make the equator look like the north pole.","If you were in a Pokemon Contest, you'd win first place in the Beauty/Cuteness category."
Are you a Grey's Anatomy fan? Because you're definitely McDreamy.,"James Bond: ""Oh, not the wine, your frock. Tight in all the right places, not too many buttons.""",My wand has chosen you!,"Baby, you're so sweet, you put Hershey's outta business.","Is that a Sudowoodo in your pocket, or are you just happy to see me?"
Are you a phoenix? ‘Cause baby you’re burning me up.,"James Bond: ""I tend to notice little things like that — whether a girl is a blonde or a brunette.""","My wand? 12 inches, unyielding.....","Be unique and different, say yes.",Is that a TANGELA down there?
Are you a secure network? Because I want to get in you.,"Tiffany Case: ""Which do you prefer?""",Once you go black you siriusly dont go back!,"Because of you, I laugh a little harder, cry a little less, and smile a lot more.",It's a good thing that I'm a pokemon trainer and can handle your Jigglypuffs!
Are you a slayer because you sure are my chosen one.,"James Bond: ""Well, as long as the collar and cuffs match . . . """,One night with me and they'll be calling you MOANING Myrtle.,Bond....James Bond,Let's go make a Mewtwo of our own.
Are you a witch because you sure got me spellbound,"James Bond: ""I think I'll call it a Vesper.""",Save a broom; ride a Quidditch player,Can I borrow a kiss? I promise I'll give it back.,Let's have a Togepi of our own!
Are you cold? Wanna borrow my Browncoat?,"Vesper Lynd: ""Because of the bitter aftertaste?""","Screw Gryffindor, Ravenclaw, Hufflepuff and Slytherin, the only house I wanna be in is yours","Can I borrow a quarter? [""What for?""] I want to call my mom and tell her I just met the man/woman of my dreams.",Let's make like a Super Rod and hook up.
Are you Eliot Spencer? Can you help me retrieve my heart?,"James Bond: ""No, because once you've tasted it, that's all you want to drink.""",Speak Parseltongue to me and I'll let my snake out!,"Can I borrow your cell phone? I need to call animal control, because I just saw a fox!",Let's make RegiLove!
Are you single? Because I'd love to start a non-nuclear family with you.,"James Bond: ""I was wrong about you.""",Together we could really make the 'Shrieking Shack' worthy of its name.,Can I buy you a drink or do you just want the money?,Lets make like the pages of this guide book and get under the covers.
"Baby we must be a perfect match, because you are in all my plans.","Dr. Christmas Jones: ""Yeah, how so?""",Wanna explore my chamber of secrets?,Can I copy your dance moves?,"Like an Umbreon, I also evolve at night."
"Baby, I love you so much that if Joss Whedon were writing our romance, one of us would be dead by now.","James Bond: ""I thought Christmas only comes once a year.""","Wanna make me moan like Myrtle? .,",Can I follow you home? Because my parents always told me to follow my dreams.,Looking at your ass makes my bulba soar.
"Baby, let me hack your pentagon.","James Bond: ""I'll tell you at dinner.""",Want to learn to speak troll? Don't worry I can get you grunting in no time.,Can I have directions? [To where?] To your heart.,My Bulbasaur knows TICKLE.
"Boo-boo bear. It's one of several nicknames I've made up for you. And you can choose which one you like best, 'cause I want this to be a give and take. ...We have cookie tush, Winnie the Boo, lady presh-presh, Annberry sauce, Annie get your boo, Tommy's girl, Annie bananie…","Jill Masterson: ""Where?""","We may not be in professor flitwick's class, but you sure are charming!",Can I have your picture so I can show Santa what I want for Christmas?,My Diglett's attracted to your SWEET SCENT.
Browncoats do it better.,"James Bond: ""Oh, I know the best place in town.""",Whaddya say you and me go look for the Room of Requirement?,Can I take your picture to prove to all my friends that angels do exist?,My Donphan won't ROLLOUT for you much longer.
"C'mon man, just take 'em off, just take 'em off and we'll have some fun.","James Bond: ""I'm still not quite sure how good you are.""",Without you I feel like I'm in Azkaban and dementors are sucking away my soul.,Can I tie your shoe? Because I can't have you fall for anyone else.,My Exeggcute are pretty weak. Let's battle so they can get some experience.
Can I be any more interested?,"Jinx: ""I am so good.""",Would you like to whomp my willow?,Can you kiss me on the cheek so I can at least say a cute girl kissed me tonight?,My Gyarados is BIG enough for you to ride it ALL day and night.
Can I go golfing with you?,"James Bond: ""Especially when you're bad.""","Wow, when I said ""Accio hottie"", I didn't expect it to work!",Can you pull this heart-shaped arrow out of my butt? A damn little kid with wings shot me.,"My Kadabra just used Future Sight, and it looks like we've got a future together."
Can I show you my Long Island?,"James Bond: ""Well, my dear, I take it you spend quite a lot of time in the saddle.""","Yeah, girls call me Aguamenti? Every time they hear my name they get wet.","Can you take me to the bakery? Because, I want a Cutiepie like you!",My Lickitung can reach deeper than you can imagine!
Can you empty your pocket? I believe you have stolen my heart.,"Jenny Flex: ""Yes, I love an early morning ride.""",You are like a bottle of Skele-Gro: You're growing me a bone.,Can you take me to the doctor? Because I just broke my leg falling for you.,My love for you burns like a Charizard's tail.
Care to dance?,"James Bond: ""Well, I'm an early riser myself.""",You can have the portkey to my heart.,"Come live in my heart, and pay no rent.",My Magikarp knows a little more than SPLASH if you know what I mean.
Carlton,"James Bond: ""Well, Tracy, next time play it safe and stand on five.""","You don't even have to say ""Luminos Maxima"" to turn me on!",Could you please step away from the bar? You're melting all the ice!,My Pokeballs are SWIFT in your mouth.
"Charlie: Whatever. What are you doing for dinner? Lisa: Charlie, a lot has changed. Charlie: I know. I'm older and wiser, and you're hot and on the rebound!","Tracy: ""People who want to stay alive play it safe.""","You don't need to say ""Incendio"" to light my fire",Crap. Something is wrong with my cell phone. {Oh Really. What is that?} Its just that...your numbers not in it.,My Shellder wants to clamp onto your Slowpoke's tail!
Check out my sweet buns,"James Bond: ""Please, stay alive! At least for tonight.""","You have two choices tonight, come with me and you'll see love spells. Go with him and you'll see Hog-WARTS!","Damn girl, I thought diamonds were pretty until I laid my eyes on you!",My Typhlosion knows Eruption.
Curse your sudden but inevitable betrayal in bed.,"James Bond: “Now put your clothes back on, and I'll buy you an ice cream.”",You make my Huffle puff.,"Damn girl, if you were a fruit, you'd be a FINEapple!",My Typhlosion knows EXPLOSION!!
"Darling, you're on fire. Like doughnut grease.","James Bond: [After Dr. Holly Goodhead kisses him] ""What was that for?""","You must be magical, because I've fallen under your spell.","Damn girl, you have more curves than a race track",Squirtle isn't the ONLY one that can use water gun. - wink -
Did you see that wonderful new documentary about the best sushi in the world?,"Dr. Holly Goodhead: ""For saving my life.""","You must be my horcrux, because you complete me.","Damn girl, your legs go all the way up and make and ass of themselves!",starMiE and starYU belong together do you get the message?
Do you know the first position?,"James Bond: ""Remind me to do it more often!""",You must be really good at Transfiguration! (Why?) Because you've changed my life.,"Damn, if being sexy was a crime, you'd be guilty as charged!","STD’s are like Pokemon baby, gotta catch ‘em all! Wanna help me out?"
Do you want some of my hot dog?,James Bond: [in bed with Christmas Jones] I was wrong about you.,"You must have given me some Skelegrow, 'cause my bone is really growing right now.",Damn! You with those curves and me without brakes!,"The name's cock..i mean brock..wait, i said that right."
Does anybody ever ask me how my day is going?,"Dr. Christmas Jones: Yeah, how so?","You're so hot, Aguamenti couldn't put you out!",Did god take the thunder out the sky and put it in your thighs?!,Those are some nice HOOTHOOTS you got there.
Don't leave. Everybody leaves.,James Bond: I thought Christmas only comes once a year.,Your kiss is like a dementor's........It takes my soul away!,Did it hurt? (Did what hurt?) When you fell out of heaven?,Wanna watch my EKANS evolve?
Emotion is a con man’s sweet spot.,"James Bond: [in the shower together] ""I like you better without your Beretta.""","Your name must be Severus Severus, because you're making my prince full blood.",Did the sun come out or did you just smile at me?,Want my Caterpie to use String Shot on you?
Excuse me! Are there any strippers here? Former strippers? Non-dancers but you're feeling a little bit drunk?,"Sévérine: ""I feel naked without it.""",Your smile's like expelliarmus: simple but disarming.,Did you clean your pants with Windex? I can practically see myself in them.,Want to Link your cable onto me?
Flute-playing enhances my finger dexterity,James Bond: I tend to notice little things like that - whether a girl is a blonde or a brunette...,,"Did you fart, cause you blew me away.",Want to register your number in my PokeNav?
"Ginger, U are fabulous! I’m an A-list actor you mite like to meet….Ure fone is dead and out of service…",Tiffany Case: And which do you prefer?,,Did you get your license suspended for driving so many guys crazy?,Want to ride my emPOLEon?
Girl your eyes are bluer than Heisenberg's Crystal,"James Bond: Well, as long as the collars and cuffs match.",,"Did you go to bed early last night? From the looks of it, you got your beauty sleep.",What's your favorite move? Mine is LICK.
"Girl, I got to tell you, that suit looks like a piece of 'Good God' wrapped up in some 'Have Mercy,' with a side of 'unghm!'",James Bond: Who are you?,,Did you have lucky charms for breakfast? Because you look magically delicious!,"When I look at you, my Metapod can't get any harder."
"Girl, you're more precious than Precious.",Pussy Galore: My name is Pussy Galore.,,"Did you hear that? Was that canon fire? Oh no, it's just my heart pounding!","When I'm around you, I am like a Geodude, as hard as a rock!"
Go home! Go home! Go home! With me.,James Bond: I must be dreaming,,Did you invent the airplane? Because you seem Wright for me,Why don't you and me go back to my gym and have a naked battle.
Going out with you would be my biggest break since the rural juror,"James Bond: You don't think I enjoyed what we did this evening, do you? What I did tonight was for King and country! You don't think it gave me any pleasure, do you?",,Did you just come out of the oven? Because you're hot.,Will you use ROCK POLISH on my Pokeballs?
Haaave you met me?,"Fiona Volpe: But of course, I forgot your ego, Mr. Bond. James Bond, who only has to make love to a woman and she starts to hear heavenly choirs singing. She repents and immediately turns to the side of right and virtue, but not this one. What a blow it must have been, you having a failure.",,Did you read Dr. Seuss as a kid? Because green eggs and... damn!,You give my Gengar that smile.
Have you ever licked the Liberty Bell?,"James Bond: Well, you can't win them all.",,Did you sit in a pile of sugar? Because you have a pretty sweet ass,You just gave me a Cubone.
Haven't you heard? I'm the crazy bitch around here.,James Bond: You're not my type.,,Did your father have sex with a carrot? Because you've got nice eyes.,You make me errupt like the Cinnabar Island volcano.
Hehe. You give me like...a boner or something. Yeah. Hehe. A boner.,"Girl: Why, cause I have half a brain?",,Didn't I see you on the cover of Vogue?,"You make me feel like an Electrode, you give me an EXPLOSION in my pants."
Hello. I'm a babe magnet.,"James Bond: No, cause you're single.",,Do I know you? Because you look a lot like my next girlfriend.,You make me RY-HORNY!
"Here is a good news. If I realize I'm insane, then I'm okay with it. I'm not dangerous insane.",James Bond:[in bed with his Scandinavian language tutor] I always enjoyed learning a new tongue.,,Do you believe in love at first sight or should I walk by again?,You make my bulba sore.
